X,Y,Pressure,Time
252.382885219886,174.909030426954,0.007814408,0
252.382885219886,174.909030426954,0.06300367,15
252.382885219886,174.909030426954,0.0971917,15
252.382885219886,174.909030426954,0.1296703,31
252.382885219886,174.909030426954,0.1296703,31
252.382885219886,174.909030426954,0.1663004,31
252.382885219886,174.909030426954,0.1990232,31
252.382885219886,174.909030426954,0.1663004,32
252.382885219886,174.909030426954,0.1990232,32
252.382885219886,174.909030426954,0.2266178,46
252.382885219886,174.909030426954,0.2266178,46
252.570390942106,167.789672536393,0.2874237,46
252.757896664327,169.529960020753,0.2747253,46
252.757896664327,171.085671559801,0.2517705,46
252.570390942106,167.789672536393,0.2874237,62
252.757896664327,169.529960020753,0.2747253,62
252.757896664327,171.085671559801,0.2517705,62
251.867244483779,165.891177098911,0.2984127,77
250.742210150456,163.992681661428,0.3054945,78
247.226477858821,159.694698934904,0.3106227,93
249.335917233802,161.883242286447,0.3057387,93
249.335917233802,161.883242286447,0.3057387,93
247.226477858821,159.694698934904,0.3106227,94
244.273262733848,157.61162755211,0.3137973,109
239.63249610889,155.528556169317,0.3169719,110
232.554155095065,154.157420575579,0.3213675,125
198.80312509537,159.879274880215,0.3382173,140
211.03787347026,155.607660145878,0.3308913,140
222.569475386822,154.157420575579,0.3245421,140
222.569475386822,154.157420575579,0.3245421,140
198.80312509537,159.879274880215,0.3382173,141
211.03787347026,155.607660145878,0.3308913,141
175.364909817804,173.801574755089,0.3482296,156
186.662129581591,166.075753044221,0.3452992,156
186.662129581591,166.075753044221,0.3452992,156
175.364909817804,173.801574755089,0.3482296,157
153.848628192999,193.999456770531,0.349939,171
164.161442915128,183.346787926878,0.349939,171
164.161442915128,183.346787926878,0.349939,171
153.848628192999,193.999456770531,0.349939,172
137.582506790368,217.915225684378,0.3501832,187
144.848353526414,205.627741325114,0.349939,187
144.848353526414,205.627741325114,0.349939,187
137.582506790368,217.915225684378,0.3501832,188
128.769737846004,242.279250465407,0.3528694,202
132.238593707083,230.097238074892,0.3504274,202
132.238593707083,230.097238074892,0.3504274,202
128.769737846004,242.279250465407,0.3528694,203
127.175939207129,254.118478957488,0.356044,218
127.175939207129,254.118478957488,0.356044,218
127.175939207129,264.929355754265,0.3589744,218
127.175939207129,264.929355754265,0.3589744,219
129.988525040437,274.764616840113,0.3614164,234
135.238685262612,283.307846308786,0.3655678,235
142.738914151433,290.216260261849,0.3692308,249
142.738914151433,290.216260261849,0.3692308,249
152.348582415235,295.674434644612,0.3716728,249
152.348582415235,295.674434644612,0.3716728,250
163.552049317911,299.576897488327,0.371917,265
163.552049317911,299.576897488327,0.371917,265
175.974303415021,301.765440839869,0.371917,265
175.974303415021,301.765440839869,0.371917,266
189.427838984344,302.134592730491,0.3702076,281
189.427838984344,302.134592730491,0.3702076,281
203.068880275887,301.580864894559,0.3655678,281
216.803674428541,298.864961699271,0.358486,281
203.068880275887,301.580864894559,0.3655678,282
216.803674428541,298.864961699271,0.358486,282
229.929074983978,294.936130863369,0.349939,296
241.835688344981,289.847108371227,0.3394383,297
252.382885219886,284.125254066591,0.3318681,312
252.382885219886,284.125254066591,0.3318681,312
260.633136997589,278.034247871334,0.3291819,312
260.633136997589,278.034247871334,0.3291819,313
266.39893795587,271.653193762017,0.3291819,327
269.727164525285,265.483083590197,0.3294261,328
270.477187414167,254.645838801233,0.3421246,343
270.570940275277,259.576653340251,0.3338217,343
270.570940275277,259.576653340251,0.3338217,343
270.477187414167,254.645838801233,0.3421246,344
268.414624469741,250.927951902829,0.35116,359
264.195745719779,247.104593035676,0.3550672,360
251.164098025452,240.459859004486,0.354823,374
258.008056886502,243.834962004456,0.3550672,374
258.008056886502,243.834962004456,0.3550672,374
251.164098025452,240.459859004486,0.354823,375
240.241889706107,235.555412457656,0.3516484,390
244.601397747734,237.374803918577,0.3518926,390
244.601397747734,237.374803918577,0.3518926,390
240.241889706107,235.555412457656,0.3516484,391
238.132450331126,233.920596942045,0.3567766,406
238.507461775567,234.55342875454,0.3516484,406
238.507461775567,234.55342875454,0.3516484,406
238.132450331126,233.920596942045,0.3567766,407
238.132450331126,233.182293160802,0.3653236,421
238.132450331126,233.182293160802,0.3653236,421
238.507461775567,232.285781426435,0.3653236,421
238.507461775567,232.285781426435,0.3653236,422
240.523148289438,231.204693746757,0.3479854,437
240.523148289438,231.204693746757,0.3479854,437
244.601397747734,229.83355815302,0.3418804,437
244.601397747734,229.83355815302,0.3418804,438
250.976592303232,228.19874263741,0.3387057,452
250.976592303232,228.19874263741,0.3387057,452
258.711203344829,226.379351176489,0.3313797,452
265.789544358654,224.929111606189,0.3155067,452
258.711203344829,226.379351176489,0.3313797,453
265.789544358654,224.929111606189,0.3155067,453
271.180333872494,223.927127903073,0.3047619,468
271.180333872494,223.927127903073,0.3047619,468
274.086672566912,223.452504043702,0.3008547,468
274.086672566912,223.452504043702,0.3008547,469
275.117954039125,223.373400067141,0.3008547,484
275.914853358562,223.267928098392,0.2986569,485
276.430494094668,223.267928098392,0.2986569,499
276.617999816889,223.267928098392,0.3040293,500
276.617999816889,223.267928098392,0.3174603,515
276.617999816889,223.267928098392,0.3221001,516
276.617999816889,223.267928098392,0.3191697,531
276.617999816889,223.267928098392,0.3221001,531
276.617999816889,223.267928098392,0.3221001,531
276.617999816889,223.267928098392,0.3191697,532
276.617999816889,223.373400067141,0.3125763,546
276.617999816889,223.637079989013,0.3035409,547
276.617999816889,224.006231879635,0.2976801,562
276.617999816889,224.006231879635,0.2976801,562
276.946134830775,224.375383770257,0.2974359,562
276.946134830775,224.375383770257,0.2974359,563
277.414899136326,224.82363963744,0.2974359,577
277.414899136326,224.82363963744,0.2974359,577
278.024292733543,225.192791528062,0.3003663,577
278.024292733543,225.192791528062,0.3003663,578
278.539933469649,225.561943418683,0.3042735,593
278.539933469649,225.561943418683,0.3042735,593
279.149327066866,225.825623340556,0.3084249,593
